2346,4,on,off
25.8,963,99.9,54612,0
25.9,966,99.9,54612,0
0,967,99.9,54612,1
26,972,99.9,54612,1
0,972,99.9,54612,1
26,973,0,54612,1
26,972,99.9,68,1
26.1,972,0,65,1
25.9,975,99.9,61,0
25.8,976,99.9,58,0
25.8,976,99.9,55,0
25.8,990,92.4,53,0
25.8,989,91.3,53,0
25.8,994,91.8,53,0
25.9,997,91.5,53,0
0,999,91.6,53,1
23,1001,90.9,53,0
26.1,1003,91.3,50,1
26.1,1003,0,53,1
26.2,1005,89.1,50,1
26.2,1009,90.1,49,1
26.2,1006,89.4,46,1
26.3,1010,88.5,42,1
26.4,1014,88,39,1
26.4,1014,90.2,36,1
26.4,1017,87.3,41,1
26.5,1018,86.5,43,1
26.6,1018,87.9,40,1
26.5,1020,88.5,40,1
26.6,1021,89,40,1
26.6,1022,88.2,38,1
26.6,1021,88.5,40,1
26.7,1022,89.3,40,1
26.7,1013,92.4,41,1
18.9,1010,94.3,44,0
26.8,1009,95,42,1
26.9,1006,95.6,37,1
27,1011,92.4,35,1
27.2,1009,96.2,36,1
27.3,1008,90.9,39,1
27.5,1008,94.4,38,1
0,1006,92.5,40,1
27.5,1006,92.1,30,1
27.9,1006,91.7,28,1
26.2,1003,0,27,1
27.8,1006,92.5,20,1
27.7,1005,89.9,17,1
27.7,1005,91.4,15,1
27.6,1008,93.1,4,1
26.6,1006,93.7,9,1
26.6,1006,95.6,9,1
26.6,991,96.2,9,1
26.7,991,99.9,10,1
26.8,994,99.9,10,1
26.6,994,99.9,9,1
26.6,994,99.9,9,1
0,998,99.9,9,1
26.6,1001,99.9,9,1
26.6,998,99.9,9,1
26.7,998,0,9,1
26.6,996,99.9,9,1
26.5,998,99.9,9,1
26.5,1004,99.9,9,1
26.5,1000,99.9,9,1
26.5,1003,99.9,9,1
26.5,1002,99.9,9,1
26.5,999,99.9,9,1
26.5,998,99.9,9,1
26.5,1004,99.9,9,1
26.5,1001,99.9,9,1
26.5,1003,99.9,9,1
26.6,1002,99.9,9,1
26.5,1002,99.9,9,1
26.5,1000,99.9,9,1
26.4,1001,99.9,9,1
26.4,1003,99.9,9,1
26.4,1004,99.9,9,1
26.4,1001,99.9,9,1
26.4,1002,99.9,9,1
26.4,1000,99.9,9,1
26.4,1000,99.9,9,1
26.4,1000,99.9,9,1
26.4,1000,99.9,9,1
0,1000,99.9,9,1
26.4,1000,99.9,9,1
26.4,998,99.9,9,1
26.4,1000,0,9,1
26.4,999,99.9,9,1
26.7,1000,99.9,9,1
26.4,1000,99.9,9,1
26.4,1001,99.9,9,1
26.5,1000,99.9,3,1
26.4,1000,99.9,3,1
0,999,99.9,3,1
26.4,1001,99.9,15,1
0,1000,99.9,15,1
26.4,994,0,3,1
26.4,999,99.9,3,1
26.4,998,0,3,1
0,991,99.9,2,1
0,994,99.9,2,1
26.2,997,99.9,2,1
26.2,989,0,2,1
26.1,990,0,65,1
25.8,989,99.9,62,0
0,989,99.9,60,1
26.1,943,99.9,60,1
26.1,957,99.9,58,1
26.2,958,0,56,1
26.3,965,99.9,53,1
26.2,970,99.9,50,1
26.1,982,99.9,55,1
26.1,991,99.9,54,1
25.9,996,94.6,54,0
26.2,996,92.7,53,1
26.5,998,92.2,53,1
26.6,999,91.1,50,1
26.7,999,91.1,53,1
26.8,1001,89,54,1
26.8,1003,89,53,1
26.8,1004,88.9,53,1
26.9,1005,88.5,50,1
27,1005,87.7,44,1
27.1,1003,89.8,45,1
0,1010,87.4,54612,1
0,987,87.8,54612,1
27.2,900,86.9,54612,1
27.2,914,0,0,1
27.2,991,0,0,1
27.3,991,87.5,54612,1
27.3,1001,86.1,54612,1
27.4,1000,86.1,54612,1
27.5,996,90.6,54612,1
27.5,996,92.5,54612,1
27.5,996,89.2,54612,1
27.6,994,91.6,54612,1
27.6,996,92.3,54612,1
0,994,90.1,54612,1
27.7,994,91,54612,1
27.8,994,91.7,54612,1
27.8,993,0,54612,1
27.8,994,91.6,54612,1
27.9,994,89.4,54612,1
27.9,994,90.8,54612,1
28,994,90.5,54612,1
28,994,90.2,54612,1
28,993,91,54612,1
28,992,90.9,54612,1
28.2,993,89.4,54612,1
28.2,992,91.2,54612,1
0,999,87.7,54612,1
27.9,1008,91.2,54612,1
28,1009,84.6,54612,1
28,1011,0,54612,1
0,1014,83,54612,1
28,1014,83.5,54612,1
0,1014,83,54612,1
28.1,1016,0,54612,1
28.1,1016,83.4,54612,1
28.1,1020,0,54612,1
28.1,1017,80.9,54612,1
28.1,1023,82.7,54612,1
0,1024,82.2,54612,1
0,1024,81.1,54612,1
28.3,1013,80.5,54612,1
28.4,1011,0,54612,1
28.4,1009,0,54612,1
28.5,1005,85.6,54612,1
0,1004,85.4,54612,1
28.5,1005,87.1,54612,1
28.5,1003,87.5,54612,1
28.5,1001,0,54612,1
0,1002,88.1,54612,1
28.5,1001,89.1,54612,1
28.5,998,88.9,54612,1
0,1001,0,54612,1
28.5,1000,90.4,54612,1
0,997,90,54612,1
28.5,994,0,54612,1
28.5,996,90.3,54612,1
28.5,997,0,54612,1
27.6,996,90.7,0,1
27.6,991,90.9,6,1
27.6,989,91.5,9,1
0,996,96,54612,1
0,981,95.9,9,1
26.9,988,99.9,9,1
27.2,997,0,9,1
27,998,0,9,1
27.1,998,99.9,9,1
27.1,998,99.9,9,1
27.2,994,99.9,9,1
27.2,998,99.9,10,1
27.2,994,99.9,9,1
27.1,994,99.9,10,1
27,1000,99.9,10,1
26.8,999,99.9,10,1
0,1001,96.2,9,1
26.6,1004,99.9,9,1
26.7,1001,95.5,9,1
26.8,1001,0,9,1
27,999,96.4,9,1
27,1000,99.9,9,1
27,998,99.9,8,1
26.9,999,99.9,8,1
27,1001,99.9,8,1
27,1000,99.9,48,1
25.9,1001,95.3,54612,0
26.1,996,99.9,54612,1
26,996,99.9,54,1
26,1024,99.9,53,1
26.1,1024,99.9,54612,1
26.1,1024,99.9,54612,1
25.8,1024,99.9,54612,0
25.7,1024,99.9,54612,0
0,1024,99.9,54612,1
25.7,1024,92.1,54612,0
25.8,1024,92.1,54612,0
25.8,1024,0,54612,0
0,1024,91.3,54612,1
25.8,1024,90.6,54612,0
0,1024,89.5,54612,1
26,1024,0,54612,1
25.9,1024,89.7,54612,0
26.2,1024,0,54612,1
24.6,1024,89,54612,0
27.1,1024,88,54612,1
26.5,1024,88.4,54612,1
26.3,1024,86.5,54612,1
26.4,1024,88.3,54612,1
26.9,1024,86,54612,1
27.7,1024,87.9,54612,1
26.6,1024,90.9,54612,1
26.6,1024,87.4,54612,1
26.8,1024,91.4,54612,1
26.8,1024,91.8,54612,1
0,1024,92.7,54612,1
28,1024,92.4,54612,1
27.9,1024,84.5,54612,1
27.9,1024,0,54612,1
0,1024,94.8,54612,1
0,1024,94.1,54612,1
27.8,1024,94.1,54612,1
27.8,1024,0,54612,1
27.8,1024,0,54612,1
27.8,1024,95.9,54612,1
27.8,1024,96.2,54612,1
27.8,1024,96.4,54612,1
27.9,1024,97.5,54612,1
27.9,1024,97.2,54612,1
27.9,1024,97.5,54612,1
0,1024,97,54612,1
27.9,1024,97.7,54612,1
0,1024,97.4,54612,1
27.9,1024,0,54612,1
27.9,1024,98.1,54612,1
27.9,1024,0,54612,1
27.9,1024,96.6,54612,1
28,1024,97,54612,1
28,1024,97,54612,1
28,1024,96.8,54612,1
28,1024,97.3,54612,1
28,1024,97.1,54612,1
28,1024,98.2,54612,1
28.1,1024,98.6,54612,1
27.7,1024,98.1,54612,1
27.6,1024,87.1,54612,1
27.6,1024,87.1,54612,1
27.7,1024,86.9,54612,1
27.8,1024,92.1,54612,1
0,1024,92.1,85,1
26.5,1024,0,54612,1
26.6,1024,99.9,54612,1
26.6,1024,99.9,54612,1
26.7,1024,99.9,54612,1
26.7,1024,98.9,54612,1
26.7,1024,98,54612,1
26.8,1024,93.6,54612,1
26.8,1024,91.7,54612,1
26.9,1024,91.5,54612,1
26.9,1024,96.4,54612,1
26.9,1024,96.8,54612,1
0,1024,95.4,54612,1
27,1024,0,54612,1
27,1024,96.2,54612,1
27,1024,97.7,54612,1
27,1024,95.9,54612,1
27.1,1024,96,54612,1
27.2,1024,92,54612,1
27.2,1024,91.9,54612,1
27.3,1024,95.8,54612,1
27.3,1024,96.5,54612,1
27.4,1024,92.7,54612,1
27.4,1024,94,54612,1
27.6,1024,94.1,54612,1
27.7,1024,94.3,54612,1
