2346,4,on,off
25.2,914,0,44,0
25,916,99.9,48,0
25,917,99.9,55,0
25,922,99.9,87,0
25.1,922,99.9,92,0
25.1,921,99.9,96,0
25.1,921,99.9,96,0
25.1,921,99.9,94,0
25.2,924,99.9,94,0
25.2,921,99.9,91,0
25.3,922,99.9,91,0
25.3,920,99.9,89,0
25.3,918,99.9,90,0
25.3,921,99.9,86,0
25.3,919,99.9,84,0
25.3,922,99.9,61,0
25.3,924,99.9,58,0
25.6,916,99.9,55,0
25.6,920,99.9,54,0
25.7,918,99.9,53,0
25.7,919,99.9,53,0
25.7,921,99.9,53,0
25.7,921,99.9,53,0
25.8,921,99.9,53,0
25.8,920,99.9,50,0
25.8,918,99.9,50,0
25.8,919,99.9,49,0
25.9,918,99.9,48,0
25.9,917,99.9,47,0
25.9,915,99.9,45,0
25.9,915,99.9,45,0
26,916,99.9,43,1
26,915,99.9,42,1
26,915,99.9,41,1
26.1,916,99.9,40,1
26.1,915,99.9,40,1
26.1,918,99.9,40,1
26.1,918,99.9,40,1
26.1,918,99.7,40,1
26.2,918,99.5,39,1
26.2,920,98.2,39,1
26.2,921,98.4,38,1
26.3,919,98,36,1
26.3,919,98.9,36,1
26.4,919,99,35,1
26.4,921,97.6,35,1
26.4,918,97.1,35,1
26.4,920,98,35,1
26.5,919,98.3,34,1
26.6,917,97.8,31,1
26.6,921,97.1,35,1
26.6,918,97,34,1
26.6,917,96.8,34,1
26.7,919,97.4,35,1
26.7,918,97.4,35,1
26.8,919,97.5,35,1
26.8,921,97.1,34,1
26.8,917,95.9,33,1
26.8,918,96.4,35,1
26.8,918,96.2,35,1
26.8,917,96.5,36,1
26.9,918,96.4,37,1
26.9,918,96.2,36,1
26.9,919,96,34,1
27,921,96.3,35,1
27,922,95.5,33,1
27.1,922,94.3,33,1
27.2,922,92.9,35,1
27.2,924,92,33,1
27.2,921,92.4,31,1
27.2,922,91.8,30,1
27.2,921,92.5,31,1
27.2,922,93.1,31,1
27.3,925,93.1,30,1
27.3,925,93.9,31,1
27.3,925,93.6,30,1
27.3,926,93.5,30,1
27.3,925,92.8,30,1
27.3,925,93.9,27,1
27.3,927,93.7,26,1
27.4,927,95.2,25,1
27.4,926,95.1,27,1
27.4,929,94.9,26,1
27.4,926,94.3,26,1
27.4,926,95.9,26,1
27.4,926,95.2,25,1
27.4,927,95.2,25,1
27.4,927,95.1,25,1
27.5,927,95.5,23,1
27.5,927,94.4,23,1
27.5,928,91.8,23,1
27.4,927,96.1,22,1
27.4,927,92.7,17,1
27.4,926,93.5,17,1
27.4,927,93.3,15,1
27.4,926,95.9,13,1
27.4,925,96.9,11,1
27.4,924,97.1,10,1
27.4,920,96.9,10,1
27.4,921,97.4,8,1
27.4,921,99.2,7,1
27.4,920,99.5,6,1
27.3,919,99.9,5,1
27.3,918,99.9,10,1
27.3,919,98.3,10,1
27.3,918,99.8,9,1
27.2,916,99.9,9,1
27.2,916,98.8,9,1
27.2,917,99.9,9,1
27.2,916,99.9,9,1
27.2,916,99.1,9,1
27.2,917,98.9,8,1
27.2,916,98.8,9,1
27.2,916,98.9,9,1
27.2,916,99.1,8,1
27.2,914,99.5,8,1
27.2,915,99.5,8,1
27.1,915,99.7,8,1
0,908,99.9,10,1
27,912,0,10,1
27.1,913,99.9,9,1
27,914,99.9,9,1
26.9,914,99.7,9,1
26.9,914,98.2,10,1
26.9,915,99.3,10,1
26.9,916,95.3,9,1
26.9,909,99.9,9,1
26.9,915,99.9,9,1
26.9,915,99.9,9,1
26.9,915,99.9,9,1
26.9,914,99.9,9,1
26.9,913,99.9,10,1
26.9,916,99.9,9,1
26.8,913,97.9,9,1
0,908,99.9,10,1
26.8,908,0,9,1
26.8,915,99.9,9,1
26.8,915,99.9,10,1
26.8,914,99.9,9,1
26.8,914,99.9,9,1
26.8,916,99.9,9,1
26.8,916,99.9,9,1
26.8,916,99.9,9,1
26.8,916,99.9,9,1
26.8,914,99.9,8,1
26.8,914,99.9,8,1
26.8,914,99.9,8,1
26.8,915,99.9,5,1
26.8,916,99.9,5,1
26.8,916,99.9,5,1
26.7,915,99.9,5,1
26.7,917,99.9,5,1
26.7,915,99.9,5,1
26.7,917,99.9,5,1
26.7,917,99.9,5,1
26.7,917,99.9,5,1
26.6,919,99.9,5,1
26.6,917,99.9,5,1
26.6,919,99.9,5,1
26.6,918,99.9,5,1
26.6,915,99.9,5,1
0,917,0,5,1
26.6,917,99.9,5,1
26.5,924,99.9,30,1
25.3,930,99.9,32,0
25.2,934,99.9,44,0
25.2,934,99.9,85,0
25.3,934,99.9,75,0
25.3,934,99.9,76,0
25.3,932,99.9,75,0
25.3,933,99.9,75,0
25.3,931,99.9,92,0
0,932,0,90,1
25.4,934,99.9,89,0
25.4,934,99.9,87,0
25.5,936,99.9,83,0
25.5,936,99.9,79,0
25.5,934,99.8,75,0
25.5,932,99.4,72,0
0,934,0,68,1
25.6,938,99.7,65,0
25.6,938,99.5,62,0
25.6,939,98.7,60,0
25.6,938,98.2,56,0
25.6,939,97.7,54,0
25.6,940,97.1,51,0
25.7,941,99.9,35,0
25.8,937,99.9,31,0
0,940,0,31,1
27,942,94.5,30,1
27,944,95,30,1
26.9,944,94.4,30,1
26.9,942,93.5,30,1
26.9,943,94.4,30,1
26.9,943,95.3,30,1
27,942,95.4,30,1
27,942,92.5,29,1
27,941,94,28,1
27.1,942,93.6,29,1
27.1,937,95.6,25,1
27.3,936,96,24,1
27.4,934,95.2,24,1
27.4,937,96.6,24,1
27.4,938,96.1,23,1
27.3,936,96.3,23,1
27.3,936,96.2,20,1
27.3,940,96.8,23,1
27.3,940,95.8,20,1
27.4,943,89,20,1
27.4,943,88.6,20,1
27.5,941,90.1,18,1
27.5,941,91.4,15,1
27.5,941,93.2,15,1
27.5,942,92.6,13,1
27.5,940,94.9,10,1
27.4,941,93.6,9,1
27.3,940,95.1,8,1
27.2,939,92.4,7,1
27.1,940,93,6,1
27,937,94.1,5,1
27,938,94.9,10,1
27,936,95.8,9,1
27,936,95.1,9,1
26.9,931,93.3,9,1
26.9,934,93.3,8,1
26.9,932,94.7,8,1
0,932,0,8,1
26.8,934,94.4,8,1
0,933,0,9,1
26.8,932,92.5,10,1
26.7,928,92.8,9,1
0,926,0,10,1
26.6,927,97,9,1
26.7,931,96.5,9,1
26.4,937,92.6,9,1
26.4,934,92.6,9,1
26.4,934,94.5,9,1
26.4,934,94.1,10,1
26.4,933,96.5,10,1
26.4,933,95.1,9,1
26.5,933,96.9,9,1
26.5,933,95.9,9,1
26.5,933,96.5,9,1
26.5,934,94.8,9,1
26.5,932,95.2,10,1
26.5,932,96.6,9,1
26.5,931,95.9,9,1
26.4,934,95.9,9,1
26.5,932,96.8,9,1
26.4,932,95.4,9,1
26.4,936,96.3,9,1
26.4,933,95.8,9,1
26.4,931,95.8,9,1
26.4,933,96,9,1
26.3,934,96.3,9,1
26.3,936,94.6,8,1
26.3,937,96,41,1
24.7,944,98.5,43,0
24.7,945,98.3,45,0
24.7,945,97.5,107,0
24.9,943,99.9,106,0
25,942,99.9,106,0
25,942,98.2,100,0
25,942,97.3,97,0
25,943,99.2,95,0
25,944,98.6,95,0
25.1,942,96.4,90,0
25.1,941,97.3,32,0
0,943,0,31,1
26.2,941,98.9,32,1
26.2,943,98.4,31,1
0,945,0,31,1
26.2,949,93.4,31,1
26.3,945,95.1,30,1
26.3,946,96.1,30,1
26.4,938,97.5,29,1
26.3,930,96.9,28,1
26.4,930,97.3,29,1
26.5,931,97.1,29,1
26.4,934,96.8,29,1
26.4,938,95.6,30,1
26.4,933,96.4,29,1
26.5,930,92,30,1
26.5,948,94.3,30,1
26.5,948,95.3,28,1
26.6,930,95.8,9,1
26.5,932,95.2,9,1
0,928,0,5,1
26.6,932,98,9,1
26.6,932,99.9,9,1
26.5,931,99.6,9,1
26.6,928,98.1,9,1
26.6,929,99.9,9,1
26.6,928,98.2,9,1
0,928,0,9,1
26.4,926,93.2,10,1
26.4,928,98.9,9,1
26.4,926,98.9,9,1
26.5,929,97.3,9,1
26.4,932,95.7,9,1
26.4,930,96.9,10,1
26.4,929,95.6,9,1
26.4,929,97,9,1
26.4,928,97.8,9,1
26.3,932,97.2,10,1
26.4,933,98.9,9,1
26.4,928,99.2,10,1
0,932,0,10,1
26.3,932,96.4,9,1
26.3,933,96,10,1
26.4,934,98.1,9,1
26.4,934,99,9,1
26.4,933,99.5,9,1
26.4,937,99.9,9,1
26.4,936,98.4,9,1
0,936,0,10,1
26.3,934,98.1,9,1
0,936,0,9,1
26.4,934,99.9,8,1
0,934,0,8,1
26.3,933,99.9,8,1
26.3,934,99.1,8,1
26.4,934,99.9,8,1
26.4,936,99.8,8,1
26.4,934,99.9,8,1
26.4,928,99.9,8,1
26.3,934,99.7,8,1
26.3,936,99.6,8,1
0,932,0,9,1
26.3,932,99.5,9,1
0,933,0,9,1
26.2,933,99.9,9,1
26.3,933,99.9,9,1
0,938,0,9,1
26.3,930,99.9,9,1
26.2,938,99.9,5,1
26.2,933,99.9,37,1
24.7,928,99.9,38,0
24.8,931,99.9,35,0
24.8,933,99.9,41,0
24.7,931,99.9,43,0
25.4,930,99.9,84,0
24.8,932,99.9,74,0
24.8,937,99.9,70,0
25.1,938,99.9,67,0
25.2,938,99.9,65,0
